,Price,Address,Bd,Ba,Parking,Sqft,Maint. Fee,Time on market
0,"$499,000",4101 - 25 Capreol Crt,1BD,1BA,1 Parking,515 sqft,Maint. Fee $421,7 hours
1,"$499,900",1524 - 230 King St E,1BD,1BA,1 Parking,530 sqft,Maint. Fee $505,8 hours
2,"$599,900",910 - 100 Hayden St,1+1BD,1BA,1 Parking,581 sqft,Maint. Fee $612,10 hours
3,"$629,000",1018 - 87 Peter St,1+1BD,1BA,0 Parking,600 sqft,Maint. Fee $353,12 hours
4,"$629,700",3107 - 101 Peter St,1BD,1BA,0 Parking,475 sqft,Maint. Fee $360,14 hours
5,"$568,000",711 - 478 King St W,1BD,1BA,0 Parking,505 sqft,Maint. Fee $364,1 day
6,"$567,800",1503 - 70 Queens Wharf Rd,1BD,1BA,0 Parking,500 sqft,Maint. Fee $314,1 day
7,"$599,900",1708 - 80 John St,1+1BD,1BA,0 Parking,627 sqft,Maint. Fee $568,1 day
8,"$619,900",4711 - 14 York St,1+1BD,1BA,0 Parking,514 sqft,Maint. Fee $384,1 day
9,"$638,800",2620 - 155 Yorkville Ave,1+1BD,1BA,0 Parking,550 sqft,Maint. Fee $565,1 day
10,"$499,900",216 - 270 Wellington St W,1BD,1BA,0 Parking,640 sqft,Maint. Fee $540,1 day
11,"$629,000",605 - 120 Parliament St,1+1BD,1BA,0 Parking,588 sqft,Maint. Fee $321,1 day
12,"$638,800",312 - 15 Stafford Street,1BD,1BA,1 Parking,654 sqft,Maint. Fee $412,1 day
13,"$639,000",2014 - 386 Yonge St,1BD,1BA,0 Parking,532 sqft,Maint. Fee $345,1 day
14,"$599,900",3507 - 21 Widmer St,1BD,1BA,0 Parking,585 sqft,Maint. Fee $484,2 days
15,"$584,000",405 - 295 Adelaide St,1BD,1BA,0 Parking,517 sqft,Maint. Fee $332,2 days
16,"$469,888",323 - 5 St Joseph St,1BD,1BA,0 Parking,639 sqft,Maint. Fee $438,2 days
17,"$650,000",737 - 151 Dan Leckie Way,1+1BD,1BA,0 Parking,628 sqft,Maint. Fee $430,2 days
18,"$528,000",1013 - 323 Richmond St,1BD,1BA,1 Parking,530 sqft,Maint. Fee $414,2 days
19,"$439,000",M09 - 350 Wellington St W,1BD,1BA,0 Parking,550 sqft,Maint. Fee $615,3 days
20,"$529,999",1019 - 1030 King St W,1BD,1BA,0 Parking,487 sqft,Maint. Fee $293,3 days
21,"$599,999",1920 - 155 Yorkville Ave,1+1BD,1BA,0 Parking,550 sqft,Maint. Fee $565,3 days
22,"$599,900",1808 - 8 Park Rd,1+1BD,1BA,1 Parking,615 sqft,Maint. Fee $692,3 days
23,"$549,900",1102 - 255 Richmond St E,1BD,1BA,1 Parking,590 sqft,Maint. Fee $539,3 days
24,"$619,000",1212 - 111 Elizabeth St,1+1BD,1BA,0 Parking,667 sqft,Maint. Fee $439,3 days
25,"$610,000",Tableau Condominiums,1+1BD,1BA,0 Parking,610 sqft,Maint. Fee $386,3 days
26,"$554,900",702 - 1 Shaw St,1BD,1BA,1 Parking,549 sqft,Maint. Fee $413,3 days
27,"$499,000",132 - 78 St Patrick St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $483,3 days
28,"$588,800",1506 - 140 Simcoe St,1BD,1BA,0 Parking,550 sqft,Maint. Fee $361,3 days
29,"$559,000",1605 - 40 Scollard St,1+1BD,1BA,0 Parking,645 sqft,Maint. Fee $675,3 days
30,"$649,000",316 - 225 Davenport Rd,1+1BD,1BA,1 Parking,881 sqft,Maint. Fee $957,3 days
31,"$650,000",1201 - 50 Lombard St,1+1BD,1BA,1 Parking,943 sqft,"Maint. Fee $1,201",3 days
32,"$549,000",1106 - 12 York St,1+1BD,1BA,0 Parking,522 sqft,Maint. Fee $373,3 days
33,"$519,000",122 - 255 Richmond St E,1BD,1BA,0 Parking,650 sqft,Maint. Fee $537,3 days
34,"$579,000",2101 - 120 Parliament St,1BD,1BA,0 Parking,550 sqft,Maint. Fee $359,4 days
35,"$600,000",N804 - 116 George St,1BD,1BA,1 Parking,516 sqft,Maint. Fee $419,4 days
36,"$599,000",2707 - 21 Widmer  St,1BD,1BA,0 Parking,585 sqft,Maint. Fee $461,4 days
37,"$649,960",4403 - 87 Peter St,1BD,1BA,0 Parking,500 sqft,Maint. Fee $245,5 days
38,"$619,900",502 - 600 Queens Quay W,1+1BD,1BA,1 Parking,717 sqft,Maint. Fee $612,6 days
39,"$539,000",717 - 801 King St W,1+1BD,1BA,1 Parking,647 sqft,Maint. Fee $678,6 days
40,"$638,800",312 - 15 Stafford St,1BD,1BA,1 Parking,654 sqft,Maint. Fee $412,6 days
41,"$549,900",305 - 381 Front St W,1+1BD,1BA,0 Parking,678 sqft,Maint. Fee $519,6 days
42,"$649,900",1204 - 88 Scott St,1+1BD,1BA,0 Parking,670 sqft,Maint. Fee $361,7 days
43,"$549,000",407 - 5 St Joseph St,1BD,1BA,0 Parking,501 sqft,Maint. Fee $343,7 days
44,"$488,800",321 - 350 Wellington St W,1BD,1BA,0 Parking,615 sqft,Maint. Fee $687,7 days
45,"$579,990",1407 - 832 Bay St,1BD,1BA,0 Parking,512 sqft,Maint. Fee $303,7 days
46,"$599,000",2907 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,590 sqft,Maint. Fee $361,7 days
47,"$519,900",711 - 705 King St W,1+1BD,1BA,1 Parking,752 sqft,Maint. Fee $643,7 days
48,"$539,000",419 - 218 King St E,1BD,1BA,0 Parking,660 sqft,Maint. Fee $376,7 days
49,"$633,800",1049 - 151 Dan Leckie Way,1+1BD,1BA,1 Parking,618 sqft,Maint. Fee $479,8 days
50,"$560,000",1003 - 25 Lower Simcoe St,1BD,1BA,0 Parking,547 sqft,Maint. Fee $419,8 days
51,"$548,000",326 - 560 Front St W,1BD,1BA,0 Parking,555 sqft,Maint. Fee $394,8 days
52,"$557,800",715 - 111 Elizabeth St,1BD,1BA,0 Parking,597 sqft,Maint. Fee $394,8 days
53,"$539,900",501 - 80 Queens Wharf Rd,1BD,1BA,0 Parking,507 sqft,Maint. Fee $339,8 days
54,"$618,800",#809 - 15 Beverley St,1BD,1BA,0 Parking,560 sqft,Maint. Fee $616,8 days
55,"$619,000",1607 - 38 Elm St,1BD,1BA,0 Parking,749 sqft,Maint. Fee $670,8 days
56,"$629,900",3004 - 1 King St W,1BD,1BA,1 Parking,591 sqft,Maint. Fee $861,8 days
57,"$605,000",605 - 51 Lower Simcoe St,1BD,1BA,1 Parking,547 sqft,Maint. Fee $384,9 days
58,"$639,999",1103 - 55 Bremner Blvd,1+1BD,1BA,0 Parking,607 sqft,Maint. Fee $517,9 days
59,"$619,000",431 - 775 King St W,1BD,1BA,1 Parking,674 sqft,Maint. Fee $344,9 days
60,"$529,000",313 - 410 Queens Quay W,1BD,1BA,0 Parking,600 sqft,Maint. Fee $526,9 days
61,"$599,900",1411 - 318 Richmond St W,1+1BD,1BA,0 Parking,627 sqft,Maint. Fee $417,9 days
62,"$495,000",538 - 151 Dan Leckie Way,1BD,1BA,0 Parking,575 sqft,Maint. Fee $394,9 days
63,"$549,900",207 - 1 Shaw St,1BD,1BA,1 Parking,564 sqft,Maint. Fee $411,9 days
64,"$559,900",519 - 1 Shaw St,1BD,1BA,0 Parking,615 sqft,Maint. Fee $374,10 days
65,"$619,900",1907 - 35 Balmuto St,1BD,1BA,0 Parking,568 sqft,Maint. Fee $541,10 days
66,"$598,000",805 - 318 Richmond St W,1BD,1BA,0 Parking,585 sqft,Maint. Fee $425,10 days
67,"$549,000",911 - 110 Charles St E,1BD,1BA,0 Parking,545 sqft,Maint. Fee $361,10 days
68,"$579,999",508 - 77 Lombard St,1BD,2BA,0 Parking,640 sqft,Maint. Fee $546,10 days
69,"$549,900",619 - 20 Blue Jays Way,1BD,1BA,0 Parking,600 sqft,Maint. Fee $415,10 days
70,"$619,900",302 - 1005 King St W,1+1BD,1BA,1 Parking,665 sqft,Maint. Fee $571,10 days
71,"$489,000",635 - 8 Telegram Mews,1BD,1BA,0 Parking,550 sqft,Maint. Fee $384,10 days
72,"$579,000",228 - 51 Lower Simcoe St,1BD,1BA,0 Parking,585 sqft,Maint. Fee $410,10 days
73,"$635,000",503 - 38 Cameron St,1BD,1BA,0 Parking,624 sqft,Maint. Fee $478,10 days
74,"$649,000",410 - 270 Wellington Ave W,1+1BD,2BA,1 Parking,786 sqft,Maint. Fee $698,11 days
75,"$510,000",3204 - 1 King St W,1BD,1BA,0 Parking,591 sqft,Maint. Fee $774,11 days
76,"$559,900",1219 - 1 Shaw St,1BD,1BA,1 Parking,615 sqft,Maint. Fee $452,11 days
77,"$589,999",2801 - 12 Yonge St,1+1BD,1BA,0 Parking,626 sqft,Maint. Fee $424,11 days
78,"$615,000",1507 - 8 Mercer St,1+1BD,1BA,0 Parking,570 sqft,Maint. Fee $318,11 days
79,"$599,000",511 - 80 Vanauley St,1+1BD,2BA,0 Parking,654 sqft,Maint. Fee $518,12 days
80,"$534,900",205 - 255 Richmond St E,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $418,13 days
81,"$649,000",2912 - 15 Lower Jarvis St,1+1BD,1BA,0 Parking,603 sqft,Maint. Fee $387,13 days
82,"$599,000",6307 - 88 Harbour St,1+1BD,1BA,0 Parking,612 sqft,Maint. Fee $462,13 days
83,"$568,800",917 - 168 Simcoe St W,1BD,1BA,0 Parking,653 sqft,Maint. Fee $564,14 days
84,"$529,900",547 - 22 Leader Lane,1BD,1BA,0 Parking,550 sqft,Maint. Fee $625,14 days
85,"$499,900",811 - 725 King St W,1+1BD,1BA,1 Parking,695 sqft,Maint. Fee $624,14 days
86,"$529,000",2612 - 25 Telegram Mews,1BD,1BA,0 Parking,545 sqft,Maint. Fee $300,14 days
87,"$635,000",1208 - 10 Navy Wharf Crt,1+1BD,1BA,1 Parking,665 sqft,Maint. Fee $582,14 days
88,"$544,900",507 - 1239 Dundas St W,1BD,1BA,0 Parking,602 sqft,Maint. Fee $635,14 days
89,"$578,000",1831 - 460 Adelaide St E,1BD,1BA,0 Parking,564 sqft,Maint. Fee $361,14 days
90,"$649,900",1008 - 88 Scott St,1BD,1BA,0 Parking,561 sqft,Maint. Fee $367,15 days
91,"$559,900",901 - 25 Capreol Crt,1BD,1BA,1 Parking,515 sqft,Maint. Fee $421,15 days
92,"$645,000",3007 - 38 Elm St,1BD,1BA,1 Parking,749 sqft,Maint. Fee $746,15 days
93,"$639,000",2007 - 21 Iceboat Terr,1+1BD,1BA,1 Parking,718 sqft,Maint. Fee $562,15 days
94,"$650,000",2808 - 30 Grand Trunk Cres,1+1BD,1BA,1 Parking,653 sqft,Maint. Fee $672,15 days
95,"$635,000",2207 - 18 Yonge St,1+1BD,2BA,0 Parking,737 sqft,Maint. Fee $409,16 days
96,"$499,000",621 - 270 Wellington St W,1BD,1BA,0 Parking,588 sqft,Maint. Fee $496,16 days
97,"$584,900",608E - 576 Front St W,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $360,16 days
98,"$529,000",504 - 66 Portland St,1BD,1BA,0 Parking,529 sqft,Maint. Fee $281,16 days
99,"$589,900",811 - 736 Bay St,1BD,1BA,1 Parking,600-699 sqft,Maint. Fee $653,17 days
100,"$599,900",1607 - 832 Bay St,1BD,1BA,0 Parking,512 sqft,Maint. Fee $321,17 days
101,"$599,000",308 - 11 Brunel Crt,1+1BD,1BA,1 Parking,680 sqft,Maint. Fee $494,17 days
102,"$550,000",608 - 608 Richmond St W,1BD,1BA,0 Parking,494 sqft,Maint. Fee $339,17 days
103,"$598,000",912 - 438 Richmond St W,1BD,1BA,1 Parking,639 sqft,Maint. Fee $550,17 days
104,"$599,000",718 - 168 Simcoe St,1BD,1BA,1 Parking,645 sqft,Maint. Fee $593,17 days
105,"$649,900",1803 - 3 Navy Wharf Crt,1+1BD,1BA,0 Parking,693 sqft,Maint. Fee $485,17 days
106,"$598,000",707 - 8 Mercer St,1+1BD,1BA,0 Parking,570 sqft,Maint. Fee $307,18 days
107,"$530,000",407 - 478 King St W,1BD,1BA,0 Parking,570 sqft,Maint. Fee $395,18 days
108,"$629,900",1608 - 736 Spadina Ave,1+1BD,1BA,1 Parking,638 sqft,Maint. Fee $581,18 days
109,"$550,000",401 - 323 Richmond St E,1BD,1BA,1 Parking,615 sqft,Maint. Fee $474,18 days
110,"$570,000",712 - 15 Brunel  Crt,1+1BD,1BA,0 Parking,595 sqft,Maint. Fee $341,18 days
111,"$499,000",808 - 560 Front St W,1BD,1BA,0 Parking,540 sqft,Maint. Fee $380,18 days
112,"$569,000",237 - 250 Wellington St W,1+1BD,1BA,1 Parking,757 sqft,Maint. Fee $621,18 days
113,"$619,000",2816 - 15 Iceboat Terr,1+1BD,1BA,1 Parking,620 sqft,Maint. Fee $493,18 days
114,"$629,990",1901 - 88 Blue Jays Way,1+1BD,1BA,0 Parking,583 sqft,Maint. Fee $499,19 days
115,"$558,000",2120 - 352 Front St W,1BD,1BA,0 Parking,569 sqft,Maint. Fee $379,19 days
116,"$579,000",905 - 38 Elm St,1BD,1BA,0 Parking,608 sqft,Maint. Fee $544,19 days
117,"$539,000",1111 - 352 Front St W,1BD,1BA,0 Parking,622 sqft,Maint. Fee $431,19 days
118,"$535,000",1710 - 14 York St,1+1BD,1BA,0 Parking,528 sqft,Maint. Fee $398,20 days
119,"$559,000",514 - 560 Front St W,1BD,1BA,0 Parking,560 sqft,Maint. Fee $398,20 days
120,"$639,900",205 - 478 King St W,1+1BD,1BA,0 Parking,680 sqft,Maint. Fee $471,21 days
121,"$615,000",806E - 576 Front St W,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $348,22 days
122,"$549,000",305 - 460 Adelaide St E,1BD,1BA,0 Parking,583 sqft,Maint. Fee $373,22 days
123,"$554,000",3503 - 21 Iceboat Terr,1+1BD,1BA,0 Parking,573 sqft,Maint. Fee $393,22 days
124,"$639,000",917E - 500 Queens Quay W Quay,1+1BD,1BA,1 Parking,746 sqft,Maint. Fee $570,22 days
125,"$634,000",418 - 38 Cameron St,1+1BD,2BA,0 Parking,625 sqft,Maint. Fee $440,22 days
126,"$579,000",1806 - 25 Grenville St,1+1BD,1BA,1 Parking,700 sqft,Maint. Fee $821,23 days
127,"$649,701",2321 - 633 Bay St,1BD,1BA,0 Parking,858 sqft,Maint. Fee $663,23 days
128,"$625,000",PH17 - 1030 King St W,1+1BD,1BA,1 Parking,564 sqft,Maint. Fee $390,23 days
129,"$529,900",343 - 250 Wellington St,1+1BD,1BA,0 Parking,588 sqft,Maint. Fee $457,23 days
130,"$537,000",3301 - 25 Telegram Mews,1BD,1BA,0 Parking,540 sqft,Maint. Fee $323,23 days
131,"$585,000",209 - 397 Front St W,1+1BD,1BA,1 Parking,579 sqft,Maint. Fee $451,23 days
132,"$609,000",509 - 770 Bay St,1BD,1BA,0 Parking,535 sqft,Maint. Fee $374,23 days
133,"$538,000",1301 - 8 Scollard St,1BD,1BA,0 Parking,530 sqft,Maint. Fee $428,24 days
134,"$628,000",2802 - 318 Richmond St W,1BD,1BA,0 Parking,501 sqft,Maint. Fee $364,24 days
135,"$649,000",1510 - 887 Bay St,1BD,1BA,1 Parking,598 sqft,Maint. Fee $546,24 days
136,"$585,000",1211 - 8 Telegram Mews,1BD,1BA,1 Parking,603 sqft,Maint. Fee $435,24 days
137,"$569,000",1106 - 410 Queens Quay W,1BD,1BA,1 Parking,567 sqft,Maint. Fee $555,24 days
138,"$549,900",3005 - 11 Brunel Crt,1BD,1BA,0 Parking,535 sqft,Maint. Fee $360,24 days
139,"$615,000",701 - 15 Grenville St,1+1BD,1BA,0 Parking,540 sqft,Maint. Fee $367,24 days
140,"$569,000",606 - 39 Sherbourne St,1+1BD,1BA,0 Parking,665 sqft,Maint. Fee $500,25 days
141,"$575,000",3008 - 375 King St W,1BD,1BA,0 Parking,522 sqft,Maint. Fee $369,25 days
142,"$560,000",405 - 10 Yonge St,1BD,1BA,1 Parking,538 sqft,Maint. Fee $547,25 days
143,"$609,000",901 - 55 Bloor St E,1+1BD,1BA,0 Parking,636 sqft,Maint. Fee $616,25 days
144,"$598,800",4207 - 115 Blue Jays Way,1BD,1BA,0 Parking,500-599 sqft,,
145,"$618,000",3108 - 375 King St W,1BD,1BA,0 Parking,522 sqft,Maint. Fee $369,25 days
146,"$598,800",825 - 255 Richmond St E,1BD,1BA,0 Parking,635 sqft,Maint. Fee $466,25 days
147,"$635,000",3007 - 397 Front St W,1+1BD,1BA,0 Parking,585 sqft,Maint. Fee $429,26 days
148,"$525,000",436 - 22 Leader Lane,1BD,1BA,0 Parking,525 sqft,Maint. Fee $630,26 days
149,"$589,900",1807 - 260 Queens Quay W,1+1BD,1BA,0 Parking,796 sqft,Maint. Fee $495,26 days
150,"$549,900",901 - 208 Queens Quay W,1BD,1BA,0 Parking,553 sqft,Maint. Fee $409,27 days
151,"$618,000",608 - 199 Richmond St,1BD,1BA,0 Parking,507 sqft,Maint. Fee $410,27 days
152,"$509,000",932 - 560 Front St W,1BD,1BA,0 Parking,555 sqft,Maint. Fee $375,28 days
153,"$635,000",1613 - 352 Front St W,1+1BD,1BA,0 Parking,659 sqft,Maint. Fee $471,28 days
154,"$529,900",728 - 21 Iceboat Terr,1+1BD,1BA,0 Parking,590 sqft,Maint. Fee $405,28 days
155,"$649,500",2902 - 55 Bremner Blvd,1BD,1BA,0 Parking,595 sqft,Maint. Fee $534,28 days
156,"$524,900",416 - 1001 Bay St,1BD,1BA,0 Parking,542 sqft,Maint. Fee $404,29 days
157,"$648,000",716 - 92 King St E,1+1BD,1BA,0 Parking,668 sqft,Maint. Fee $533,29 days
158,"$599,900",3111 - 14 York St,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $350,29 days
159,"$628,000",405 - 8 The Esplanade,1+1BD,1BA,0 Parking,674 sqft,Maint. Fee $499,30 days
160,"$499,999",301 - 30 Hayden St,1BD,1BA,0 Parking,588 sqft,Maint. Fee $552,30 days
161,"$599,900",601 - 170 Fort York Blvd,1+1BD,1BA,0 Parking,643 sqft,Maint. Fee $533,30 days
162,"$549,900",712 - 333 Adelaide St E,1BD,1BA,0 Parking,605 sqft,Maint. Fee $344,30 days
163,"$499,900",1008 - 8 Telegram Mews,1BD,1BA,0 Parking,488 sqft,Maint. Fee $326,30 days
164,"$609,888",3606 - 15 Lower Jarvis St,1BD,1BA,0 Parking,545 sqft,Maint. Fee $352,30 days
165,"$559,900",917 - 1001 Bay St,1+1BD,1BA,0 Parking,704 sqft,Maint. Fee $524,30 days
166,"$580,000",738 - 460 Adelaide St E,1+1BD,1BA,0 Parking,600 sqft,Maint. Fee $383,31 days
167,"$529,900",431E - 576 Front St W,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $368,31 days
168,"$569,900",512 - 109 Front St E,1BD,1BA,1 Parking,570 sqft,Maint. Fee $467,31 days
169,"$629,900",3710 - 8 The Esplanade Ave,1BD,1BA,0 Parking,536 sqft,Maint. Fee $402,32 days
170,"$459,999",1102 - 120 St Patrick St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $691,32 days
171,"$627,900",127 - 255 Richmond St E,1BD,1BA,1 Parking,660 sqft,Maint. Fee $565,32 days
172,"$550,000",2217 - 330 Richmond St W,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $376,32 days
173,"$539,900",714 - 608 Richmond St W,1BD,1BA,0 Parking,494 sqft,Maint. Fee $338,32 days
174,"$629,900",1109 - 397 Front St,1+1BD,1BA,0 Parking,733 sqft,Maint. Fee $561,32 days
175,"$498,000",M15 - 350 Wellington St W,1BD,1BA,0 Parking,550 sqft,Maint. Fee $615,32 days
176,"$499,000",#101 - 140 Bathurst St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $562,32 days
177,"$499,900",1642 - 250 Wellington St W,1BD,1BA,1 Parking,530 sqft,Maint. Fee $445,32 days
178,"$633,000",6107 - 14 York St,1+1BD,1BA,0 Parking,529 sqft,Maint. Fee $403,33 days
179,"$609,800",1810 - 25 Telegram Mews,1+1BD,1BA,1 Parking,500-599 sqft,Maint. Fee $357,33 days
180,"$558,000",105 - 31 Olive Ave,1BD,1BA,1 Parking,440 sqft,Maint. Fee $373,33 days
181,"$610,000",2107 - 44 St. Joseph St,1+1BD,1BA,1 Parking,685 sqft,Maint. Fee $609,34 days
182,"$549,000",2010 - 75 Queens Wharf Rd,1BD,1BA,0 Parking,540 sqft,Maint. Fee $330,34 days
183,"$650,000",2707 - 45 Charles St E,1+1BD,1BA,0 Parking,592 sqft,Maint. Fee $379,35 days
184,"$599,900",925 - 1030 King St W,1+1BD,1BA,1 Parking,564 sqft,Maint. Fee $407,35 days
185,"$489,900",312 - 4K Spadina Ave,1BD,1BA,0 Parking,560 sqft,Maint. Fee $309,35 days
186,"$639,900",3809 - 12 York St,1+1BD,1BA,1 Parking,590 sqft,Maint. Fee $557,35 days
187,"$599,000",2309 - 381 Front St W,1+1BD,1BA,1 Parking,600-699 sqft,Maint. Fee $463,35 days
188,"$640,000",2207 - 101 Peter St,1BD,1BA,0 Parking,475 sqft,Maint. Fee $340,35 days
189,"$650,000",401 - 38 Cameron St,1BD,1BA,0 Parking,576 sqft,Maint. Fee $441,35 days
190,"$499,000",201 - 608 Richmond St W,1BD,1BA,0 Parking,531 sqft,Maint. Fee $363,35 days
191,"$649,000",1211 - 318 Richmond St W,1+1BD,1BA,0 Parking,627 sqft,Maint. Fee $455,35 days
192,"$588,000",2501 - 1001 Bay St,1+1BD,1BA,0 Parking,682 sqft,Maint. Fee $510,36 days
193,"$578,000",3612 - 21 Iceboat Terr,1BD,1BA,1 Parking,550 sqft,Maint. Fee $450,36 days
194,"$588,000",341 - 15 Iceboat Terr,1+1BD,1BA,1 Parking,600-699 sqft,Maint. Fee $493,36 days
195,"$585,000",608 - 18 Stafford St E,1BD,1BA,1 Parking,583 sqft,Maint. Fee $393,36 days
196,"$502,888",702 - 140 Bathurst St,1BD,1BA,0 Parking,532 sqft,Maint. Fee $542,36 days
197,"$549,000",909 - 560 Front St W,1BD,1BA,0 Parking,500 sqft,Maint. Fee $357,36 days
198,"$625,000",507 - 38 Cameron St,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $358,36 days
199,"$609,900",3707 - 832 Bay St,1BD,1BA,0 Parking,512 sqft,Maint. Fee $285,36 days
200,"$550,000",708 - 608 Richmond St,1BD,1BA,0 Parking,494 sqft,Maint. Fee $323,37 days
201,"$638,000",3901 - 5 St Joseph St,1BD,1BA,0 Parking,511 sqft,Maint. Fee $350,37 days
202,"$610,000",623 - 109 Front St E,1+1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $429,37 days
203,"$628,900",710 - 460 Adelaide St E,1+1BD,1BA,1 Parking,676 sqft,Maint. Fee $491,37 days
204,"$520,000",611E - 500 Queens Quay W,1BD,1BA,1 Parking,606 sqft,Maint. Fee $465,37 days
205,"$539,000",3601 - 25 Telegram Mews,1BD,1BA,0 Parking,540 sqft,Maint. Fee $323,37 days
206,"$525,000",1132 - 560 Front St W,1BD,1BA,0 Parking,555 sqft,Maint. Fee $377,37 days
207,"$589,000",1005 - 87 Peter St,1BD,1BA,0 Parking,530 sqft,Maint. Fee $312,37 days
208,"$599,000",915 - 27 Bathurst St,1+1BD,1BA,0 Parking,545 sqft,Maint. Fee $324,37 days
209,"$649,900",1204 - 375 King St,1BD,1BA,1 Parking,600-699 sqft,Maint. Fee $400,37 days
210,"$539,000",2711 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,570 sqft,Maint. Fee $348,37 days
211,"$629,000",1132 - 629 King St W,1BD,1BA,0 Parking,546 sqft,Maint. Fee $411,38 days
212,"$599,900",808 - 38 Elm St,1BD,1BA,1 Parking,749 sqft,Maint. Fee $746,38 days
213,"$395,000",702 - 8 Colborne St,1BD,1BA,0 Parking,447 sqft,Maint. Fee $727,38 days
214,"$529,900",1911 - 75 Queens Wharf Rd,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $327,38 days
215,"$619,000",914 - 300 Front St W,1BD,1BA,0 Parking,615 sqft,Maint. Fee $354,38 days
216,"$609,900",616 - 7 King St E,1BD,1BA,1 Parking,627 sqft,Maint. Fee $526,38 days
217,"$624,888",1602 - 33 Charles St,1BD,1BA,0 Parking,495 sqft,Maint. Fee $370,39 days
218,"$569,900",613W - 27 Bathurst St,1BD,1BA,1 Parking,458 sqft,Maint. Fee $336,39 days
219,"$520,000",927 - 21 Iceboat Terr,1+1BD,1BA,0 Parking,573 sqft,Maint. Fee $384,39 days
220,"$539,000",1510 - 75 Queens Wharf Rd,1BD,1BA,0 Parking,540 sqft,Maint. Fee $352,39 days
221,"$639,000",3209 - 361 Front St,1+1BD,1BA,1 Parking,700-799 sqft,Maint. Fee $567,39 days
